0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,57,96,10,163.0
TPS 003,0,0,0,0.0
TPS 004,0,0,0,0.0
TPS 005,0,0,0,0.0
TPS 006,0,0,0,0.0
TPS 007,0,0,0,0.0
TPS 008,0,0,0,0.0
TPS 009,0,0,0,0.0
TPS 010,0,0,0,0.0
TPS 011,0,0,0,0.0
TPS 012,0,0,0,0.0
TPS 013,0,0,0,0.0
TPS 014,0,0,0,0.0
TPS 015,0,0,0,0.0
TPS 016,0,0,0,0.0
TPS 017,81,99,17,197.0
TPS 018,0,0,0,0.0
TPS 019,0,0,0,0.0
TPS 020,0,0,0,0.0
TPS 021,0,0,0,0.0
TPS 022,0,0,0,0.0
TPS 023,0,0,0,0.0
TPS 024,0,0,0,0.0
TPS 025,40,122,13,175.0
TPS 026,0,0,0,0.0
TPS 027,0,0,0,0.0
TPS 028,888,92,46,1026.0
TPS 029,0,0,0,0.0
TPS 030,0,0,0,0.0
TPS 031,0,0,0,0.0
TPS 032,0,0,0,0.0
TPS 033,0,0,0,0.0
TPS 034,0,0,0,0.0
TPS 035,0,0,0,0.0
TPS 036,0,0,0,0.0
TPS 037,0,0,0,0.0
TPS 038,0,0,0,0.0
TPS 039,0,0,0,0.0
TPS 040,0,0,0,0.0
TPS 041,0,0,0,0.0
TPS 042,0,0,0,0.0
TPS 043,0,0,0,0.0
TPS 044,0,0,0,0.0
TPS 045,0,0,0,0.0
TPS 046,0,0,0,0.0
TPS 047,0,0,0,0.0
TPS 048,0,0,0,0.0
TPS 049,78,104,7,189.0
TPS 050,0,0,0,0.0
TPS 051,73,81,15,169.0
TPS 052,0,0,0,0.0
TPS 053,0,0,0,0.0
TPS 054,0,0,0,0.0
TPS 055,0,0,0,0.0
TPS 056,0,0,0,0.0
TPS 057,0,0,0,0.0
TPS 058,0,0,0,0.0
TPS 059,0,0,0,0.0
TPS 060,0,0,0,0.0
TPS 061,95,71,5,171.0
TPS 062,0,0,0,0.0
TPS 063,0,0,0,0.0
TPS 064,0,0,0,0.0
TPS 065,83,123,4,210.0
TPS 066,63,128,4,195.0
TPS 067,0,0,0,0.0
TPS 068,0,0,0,0.0
TPS 069,0,0,0,0.0
TPS 070,68,120,5,193.0
TPS 071,0,0,0,0.0
TPS 072,0,0,0,0.0
TPS 073,52,92,14,158.0
TPS 074,0,0,0,0.0
TPS 075,0,0,0,0.0
TPS 076,0,0,0,0.0
TPS 077,0,0,0,0.0
TPS 078,72,82,12,166.0
TPS 079,0,0,0,0.0
TPS 080,0,0,0,0.0
TPS 081,34,100,18,152.0
TPS 082,0,0,0,0.0
TPS 083,0,0,0,0.0
TPS 084,0,0,0,0.0
TPS 085,0,0,0,0.0
TPS 086,0,0,0,0.0
TPS 087,0,0,0,0.0
TPS 088,70,88,9,167.0
TPS 089,0,0,0,0.0
TPS 090,0,0,0,0.0
TPS 091,0,0,0,0.0
TPS 092,873,450,853,2176.0
TPS 093,0,0,0,0.0
TPS 094,0,0,0,0.0
TPS 095,0,0,0,0.0
TPS 096,0,0,0,0.0
TPS 097,0,0,0,0.0
TPS 098,58,106,10,174.0
TPS 099,0,0,0,0.0
TPS 100,0,0,0,0.0
TPS 101,0,0,0,0.0
TPS 102,0,0,0,0.0
TPS 103,0,0,0,0.0
TPS 104,0,0,0,0.0
TPS 105,0,0,0,0.0
TPS 106,76,88,4,168.0
TPS 107,69,95,4,168.0
TPS 108,51,4,0,55.0
TPS 109,35,123,17,175.0
TPS 110,0,0,0,0.0
TPS 111,0,0,0,0.0
TPS 112,0,0,0,0.0
TPS 113,75,85,19,179.0
TPS 114,0,0,0,0.0
TPS 115,0,0,0,0.0
TPS 116,78,127,4,209.0
TPS 117,0,0,0,0.0
TPS 118,70,137,3,210.0
TPS 119,0,0,0,0.0
TPS 120,0,0,0,0.0
TPS 121,0,0,0,0.0
TPS 122,0,0,0,0.0
TPS 123,0,0,0,0.0
TPS 124,0,0,0,0.0
TPS 125,0,0,0,0.0
TPS 126,57,76,11,144.0
TPS 127,0,0,0,0.0
